name,url,unit,amount
Azuki #9322,https://lh3.googleusercontent.com/fn9Xcdg_UfjsgYLcyPM0_CiSUYAHZfFTCJ05BcTIfpXmYjv0kb0R2LDksvzvXSCWEdvXH_9DA_YJ_9jIf33tEYfMHEvY3Zz4-7HrHEc=w191,ETH,30
Azuki #5762,https://lh3.googleusercontent.com/XvF69-JCLVDc4nLEiZ44N1UicsbEgvvk4rW9o4DF28P_w8FtI40r19GZDLvqDVJfywTQGvDTRSyiXD3wS49PVSPbv213-X44SR82=w191,ETH,30
Azuki #3683,https://lh3.googleusercontent.com/pMEp-8i3rcnOvbdOyDRt-9qyExLwukfwQJhVWyAV90_DJ8llHVxidu8IRQ1S7-YImHQQhFjp0sFUuXovoK8GAO4BHQyq--P7uSENu3w=w191,ETH,30
Azuki #5121,https://lh3.googleusercontent.com/B7fdQ1cNSnYK6SS8niv4uMkX6H95bhvBZYh-rq_LcnouxhUMA12Rdoa2Ol0UxFzx96ADcHzMQ95EFyZJGE8McYAp4fkHNpLaIVyqwA=w191,ETH,29.7486
Azuki #3287,https://lh3.googleusercontent.com/RymtcjsBpBBtb15eJ31qfmfp4ZyDfkdITG6YdWgQsYyXfT28kjcjoXL3WH30nmrcwh-vmwpwOwHl8xUeE1FnhUu-0Ha4ni2XaW-9=w191,ETH,30
Azuki #1966,https://lh3.googleusercontent.com/uck7k0Onr3J12o45k6moWUOpc9HNq3L4fkxJDhA1h5vLTRaIv-DhXorleqyw55vSDdA42DNNxG4Qm8AweUeoc-RvQwkzN4PFBdMkXQ=w191,ETH,30.15
Azuki #4616,https://lh3.googleusercontent.com/vsPsjQZXxbTnla0lPRDsSYO9cA0MKdkj34rLusUqp58br52UZ3p5qbQ2fCwGL67s9qTnPRATf5QXhssgTvEtIaz6zuS58IiP4HDuBjU=w191,ETH,30.5
Azuki #8736,https://lh3.googleusercontent.com/Z5cAMGDBYcisZv_yfNMbpOa79zDZa9LOgdaCFr6A3_UON5vXGV9KZOj25vUq8f0t51fBVpI6hVqkO4ObCNaoa2I4Exz_6qvArEWw=w191,ETH,30.69
Azuki #9292,https://lh3.googleusercontent.com/WJX5FiG3Un29i7raod7hrJFuqlqgG25HEEhCSpLcJhfnAyPszjRH19xwy40oZTLpd7NGViuwwXIr2_e5PppUq1z55UlKCp1ol92ZHw=w191,ETH,30.8
Azuki #3835,https://lh3.googleusercontent.com/ql0GEIEsiWsvhvtp8MqeEIbfvNh-daeMX_IM56grBEQjANkznNBjtH5FkJ4Zm9fNs4K8QJ3t4Z5xZxnAmynn5s0aaCz_QpjfTPLibg=w191,ETH,0.069
Azuki #5444,https://lh3.googleusercontent.com/iYRYzDD2v0Y1SQWDmKq75iM7PqCZfy55GwCRwmzvAjCq6w--oF-IBKRZc_ECzv_Auj5e23HJNwG1h8k9mHZG-Ilur_zG3LE_Rn2jUg=w191,ETH,31
Azuki #3579,https://lh3.googleusercontent.com/9vetjQu_ck4PO7gU87pb0uT2i9MV8JEMbE3lsW5xb2Cf_LgXnpSewFUMzk_-qIsenEVAnYGCLCzsUa5WHVcu_nkFT2iWAo3l0UxGxA=w191,ETH,31
